,APT_ICAO,YEAR,MONTH_NUM,FLT_MEAN,FLT_MEAN_DEP,FLT_MEAN_ARR
191,ENGM,2024,12,511.1290322580645,255.16129032258064,255.96774193548387
192,LEBL,2023,1,675.1612903225806,337.51612903225805,337.64516129032256
193,LEBL,2023,2,741.75,370.5357142857143,371.2142857142857
194,LEBL,2023,3,779.9677419354839,390.38709677419354,389.5806451612903
195,LEBL,2023,4,896.3,447.96666666666664,448.3333333333333
196,LEBL,2023,5,926.3548387096774,463.2903225806452,463.06451612903226
197,LEBL,2023,6,942.2,470.8,471.4
198,LEBL,2023,7,988.8064516129032,494.35483870967744,494.4516129032258
199,LEBL,2023,8,962.9032258064516,481.5483870967742,481.35483870967744
200,LEBL,2023,9,948.6,474.3,474.3
201,LEBL,2023,10,937.741935483871,469.06451612903226,468.6774193548387
202,LEBL,2023,11,839.0333333333333,419.46666666666664,419.56666666666666
203,LEBL,2023,12,839.516129032258,419.7096774193548,419.80645161290323
204,LEBL,2024,1,761.6774193548387,380.741935483871,380.93548387096774
205,LEBL,2024,2,813.2758620689655,406.7931034482759,406.48275862068965
206,LEBL,2024,3,871.4193548387096,435.64516129032256,435.7741935483871
207,LEBL,2024,4,993.8,496.96666666666664,496.8333333333333
208,LEBL,2024,5,1019.483870967742,509.4516129032258,510.03225806451616
209,LEBL,2024,6,1045.3333333333333,522.8,522.5333333333333
210,LEBL,2024,7,1057.0967741935483,528.5483870967741,528.5483870967741
211,LEBL,2024,8,1036.0967741935483,517.8709677419355,518.2258064516129
212,LEBL,2024,9,1056.3333333333333,528.0333333333333,528.3
213,LEBL,2024,10,1016.5806451612904,508.35483870967744,508.2258064516129
214,LEBL,2024,11,867.9,433.93333333333334,433.96666666666664
215,LEBL,2024,12,866.8709677419355,433.35483870967744,433.51612903225805
216,LEMD,2023,1,978.741935483871,489.64516129032256,489.0967741935484
217,LEMD,2023,2,995.9285714285714,498.10714285714283,497.82142857142856
218,LEMD,2023,3,1010.483870967742,505.2258064516129,505.258064516129
219,LEMD,2023,4,1054.1,527.0333333333333,527.0666666666667
220,LEMD,2023,5,1076.0,538.0,538.0
221,LEMD,2023,6,1087.6666666666667,544.1,543.5666666666667
222,LEMD,2023,7,1111.8709677419354,556.1612903225806,555.7096774193549
223,LEMD,2023,8,1090.6774193548388,545.3225806451613,545.3548387096774
224,LEMD,2023,9,1130.0333333333333,565.0,565.0333333333333
225,LEMD,2023,10,1114.8709677419354,557.3870967741935,557.483870967742
226,LEMD,2023,11,1066.3,533.0333333333333,533.2666666666667
227,LEMD,2023,12,1074.9354838709678,536.9354838709677,538.0
228,LEMD,2024,1,1020.1935483870968,510.5483870967742,509.64516129032256
229,LEMD,2024,2,1066.8620689655172,533.4827586206897,533.3793103448276
230,LEMD,2024,3,1105.4516129032259,552.5483870967741,552.9032258064516
231,LEMD,2024,4,1157.9666666666667,579.2,578.7666666666667
232,LEMD,2024,5,1173.0967741935483,586.1290322580645,586.9677419354839
233,LEMD,2024,6,1211.6,606.1666666666666,605.4333333333333
234,LEMD,2024,7,1218.9032258064517,609.258064516129,609.6451612903226
235,LEMD,2024,8,1181.3548387096773,590.3870967741935,590.9677419354839
236,LEMD,2024,9,1215.8,607.5666666666667,608.2333333333333
237,LEMD,2024,10,1142.0645161290322,571.0322580645161,571.0322580645161
238,LEMD,2024,11,1139.6666666666667,569.4333333333333,570.2333333333333
239,LEMD,2024,12,1147.032258064516,573.3548387096774,573.6774193548387
240,LEPA,2023,1,267.6774193548387,134.06451612903226,133.61290322580646
241,LEPA,2023,2,295.82142857142856,147.89285714285714,147.92857142857142
242,LEPA,2023,3,376.51612903225805,187.7741935483871,188.74193548387098
243,LEPA,2023,4,684.2,341.6666666666667,342.53333333333336
244,LEPA,2023,5,783.483870967742,392.03225806451616,391.4516129032258
245,LEPA,2023,6,874.5,437.2,437.3
246,LEPA,2023,7,960.9677419354839,480.61290322580646,480.35483870967744
247,LEPA,2023,8,940.0967741935484,469.9032258064516,470.19354838709677
248,LEPA,2023,9,881.2333333333333,440.43333333333334,440.8
249,LEPA,2023,10,779.0967741935484,390.0,389.0967741935484
250,LEPA,2023,11,325.0,162.7,162.3
