Year,APT_ICAO,Airline,En_Route,Miscellaneous,Government,Weather
2023,EDDB,361472,110303,17369,30222,24088
2024,EBOS,2622,2487,33,127,801
2023,EBOS,1667,1891,204,138,240
2023,EBLG,1977,1411,2132,91,821
2024,EBLG,2908,1534,303,37,355
2024,EBCI,101134,112458,1555,6313,19852
2023,EBCI,92472,114653,2541,5426,12979
2024,EBBR,265943,117632,41998,39709,60051
2023,EBBR,248805,136916,31811,37064,27416
2024,EBAW,1935,1978,141,44,305
2023,EBAW,1150,1684,191,43,519
2024,BIKF,18981,1433,4786,1669,9713
2023,BIKF,18400,2211,3701,1412,10886
